a	aa
रब	r aa b
रमनोव	r aa m aa n oo w
रमसे	r aa m aa s ee
रमा	r aa m AA
रमाने	r aa m AA n ee
रमेज	r aa m ee j
रमेस	r aa m ee s
रय	r aa y
रयुस	r aa y uu s
रयूड	r aa y UU D
रविवार	r aa w ii w AA r
रस	r aa s
रसती	r aa s aa t II
रसन	r aa s aa n
रसम	r aa s aa m
रसरी	r aa s aa r II
रस्ता	r aa s t AA
रस्ते	r aa s t ee
रस्सी	r aa s s II
रह	r aa hh
रहकाना	r aa hh aa k AA n AA
रहटी	r aa hh aa T II
रहत	r aa hh aa t
रहता	r aa hh aa t AA
रहती	r aa hh aa t II
रहते	r aa hh aa t ee
रहना	r aa hh aa n AA
रहा	r aa hh AA
रहित	r aa hh ii t
रही	r aa hh II
रहीं	r aa hh II q
रहे	r aa hh ee
रहेंगे	r aa hh ee q g ee
रहेगा	r aa hh ee g AA
रहेती	r aa hh ee t II
रहेते	r aa hh ee t ee
रहो	r aa hh oo
रा	r AA
राइ	r AA ii
राइट	r AA ii T
राइन	r AA ii n
राईंग	r AA II q g
राईट	r AA II T
राउट	r AA uu T
राग	r AA g
राज	r AA j
राजत	r AA j aa t
राजन	r AA j aa n
राजय	r AA j aa y
राजये	r AA j aa y ee
राजा	r AA j AA
राजात	r AA j AA t
राजाने	r AA j AA n ee
राजु	r AA j uu
राजू	r AA j UU
राजे	r AA j ee
राज्य	r AA j y
रात	r AA t
राद	r AA d
राध	r AA dh
राधा	r AA dh AA
राबेड	r AA b ee D
राम	r AA m
रामपुर	r AA m aa p uu r
रामपुरा	r AA m aa p uu r AA
रामु	r AA m uu
रामेन	r AA m ee n
राय	r AA y
रास्ते	r AA s t ee
रास्तें	r AA s t ee q
राह	r AA hh
राहा	r AA hh AA
राहायची	r AA hh AA y aa c II
राहे	r AA hh ee
रि	r ii
रिंकू	r ii q k UU
रिंग	r ii q g
रिंड	r ii q D
रिओंड्स	r ii oo q D s
रिओर्स	r ii oo r s
रिकरुड्रींक	r ii k aa r uu D r II q k
रिकॅ	r ii k ae
रिकॅवायडिंग	r ii k ae w AA y aa D ii q g
रिकॉर्ड	r ii k OO r D
रिकॉस	r ii k OO s
रिक्स	r ii k s
रिचार्ड	r ii c AA r D
रिचेट	r ii c ee T
रिचेडे	r ii c ee D ee
रिजफूल	r ii j aa ph UU l
रिज़ल्ट	r ii j aa l T
रिज़ल्ट्स	r ii j aa l T s
रिजियॉन	r ii j ii y OO n
रिजू	r ii j UU
रिजोस	r ii j oo s
रिट	r ii T
रिटनड	r ii T aa n aa D
रिटनडेड	r ii T aa n aa D ee D
रिटनर्ड	r ii T aa n aa r D
रिटनिड	r ii T aa n ii D
रिटनेड	r ii T aa n ee D
रिटन्ड	r ii T aa n D
रिटरेड	r ii T aa r ee D
रिटर्न	r ii T aa r n
रिटर्ननीड	r ii T aa r n aa n II D
रिटर्ननेड	r ii T aa r n aa n ee D
रिटर्निट	r ii T aa r n ii T
रिटर्नेड	r ii T aa r n ee D
रिटारेड	r ii T AA r ee D
रिटि	r ii T ii
रिटिड	r ii T ii D
रिटींग	r ii T II q g
रिट्राड	r ii T r AA D
रिडसिंग	r ii D aa s ii q g
रिडि	r ii D ii
रिडिकल	r ii D ii k aa l
रिडूव	r ii D UU w
रिडेल	r ii D ee l
रिदटस	r ii d aa T aa s
रिन	r ii n
रिपलेक्ससिमेट	r ii p aa l ee k s aa s ii m ee T
रिपलेड	r ii p aa l ee D
रिपलॉन	r ii p aa l OO n
रिपाईड	r ii p AA II D
रिपि	r ii p ii
रिपिड	r ii p ii D
रिपिडली	r ii p ii D aa l II
रिपिल	r ii p ii l
रिपी	r ii p II
रिपीड	r ii p II D
रिपे	r ii p ee
रिपेंड	r ii p ee q D
रिपेक्टिव	r ii p ee k T ii w
रिपेलिड	r ii p ee l ii D
रिपैड	r ii p ee D
रिपोटरी	r ii p oo T aa r II
रिपोटी	r ii p oo T II
रिपोलॉसी	r ii p oo l OO s II
रिप्यालिट	r ii p y AA l ii T
रिप्राय	r ii p r AA y
रिप्रेप	r ii p r ee p
रिप्लाइष्ट	r ii p l AA ii sh T
रिप्लाइड़स	r ii p l AA ii D aa s
रिप्लाईद	r ii p l AA II d
रिप्लायड	r ii p l AA y aa D
रिप्लायन	r ii p l AA y aa n
रिप्लायेड	r ii p l AA y ee D
रिप्लि	r ii p l ii
रिप्लिड	r ii p l ii D
रिप्लेट	r ii p l ee T
रिप्लेड	r ii p l ee D
रिप्लेन	r ii p l ee n
रिप्लेन्ड	r ii p l ee n D
रिप्लेस्ट	r ii p l ee s T
रिफ	r ii ph
रिफ़ुसे	r ii ph uu s ee
रिफिउस	r ii ph ii uu s
रिफ्युसा	r ii ph y uu s AA
रिफ्रेड	r ii ph r ee D
रिम	r ii m
रिमिन	r ii m ii n
रिमूर	r ii m UU r
रिमूवड	r ii m UU w aa D
रियला	r ii y aa l AA
रियलाइजेड	r ii y aa l AA ii j ee D
रियस	r ii y aa s
रियसन	r ii y aa s aa n
रिया	r ii y AA
रिल	r ii l
रिलाइज्स्ड	r ii l AA ii j s D
रिलाइज़्ड	r ii l AA ii z D
रिलायज	r ii l AA y aa j
रिलायड	r ii l AA y aa D
रिलि	r ii l ii
रिलिप्टेड	r ii l ii p T ee D
रिलिव्ड	r ii l ii w D
रिलिसट	r ii l ii s aa T
रिली	r ii l II
रिल्युस	r ii l y uu s
रिव	r ii w
रिवाइज	r ii w AA ii j
रिव्हर	r ii w hh aa r
रिव्हीजोन	r ii w hh II j oo n
रिव्हीलन	r ii w hh II l aa n
रिश्ता	r ii sh t AA
रिश्ते	r ii sh t ee
रिस	r ii s
रिसन	r ii s aa n
रिसपाइल्ट	r ii s aa p AA ii l T
रिसर्च	r ii s aa r c
रिसिंग	r ii s ii q g
रिसिन	r ii s ii n
रिसॉय	r ii s OO y
रिसो	r ii s oo
रिसोल्ट	r ii s oo l T
रिसौन	r ii s OO n
रिस्टूरैंट	r ii s T UU r ee q T
रिस्पेक्ट	r ii s p ee k T
रिस्पेक्टिवस	r ii s p ee k T ii w aa s
रिस्पॉंड	r ii s p OO q D
री	r II
रीझिल्ड	r II jh ii l D
रीत	r II t
रीथ	r II th
रीद्ट	r II d T
रीरिज़ड़	r II r ii z aa D
रीली	r II l II
रीव	r II w
रीवाइंड	r II w AA ii q D
रीस	r II s
रीस्पॉन	r II s p OO n
रीज़न	r II z aa n
रु	r uu
रुंट	r uu q T
रुइन	r uu ii n
रुक	r uu k
रुकने	r uu k aa n ee
रुकम	r uu k aa m
रुका	r uu k AA
रुटी	r uu T II
रुडि	r uu D ii
रुडे	r uu D ee
रुप	r uu p
रुपए	r uu p ee
रुपके	r uu p aa k ee
रुपय	r uu p aa y
रुपया	r uu p aa y AA
रुपये	r uu p aa y ee
रुपयो	r uu p aa y oo
रुपयों	r uu p aa y oo q
रुपा	r uu p AA
रुपिए	r uu p ii ee
रुपियो	r uu p ii y oo
रुशींग	r uu sh II q g
रू	r UU
रूट	r UU T
रूप	r UU p
रूपये	r UU p aa y ee
रूपा	r UU p AA
रूमट	r UU m aa T
रूम्स	r UU m s
रूलेड	r UU l ee D
रॅ	r ae
रॅन	r ae n
रॅनेट	r ae n ee T
रे	r ee
रेकिंग	r ee k ii q g
रेकिन	r ee k ii n
रेचेस	r ee c ee s
रेज	r ee j
रेड	r ee D
रेडी	r ee D II
रेडीयेट	r ee D II y ee T
रेडुयुजींग	r ee D uu y uu j II q g
रेडूस	r ee D UU s
रेडेटिंग	r ee D ee T ii q g
रेनेन	r ee n ee n
रेपस्ट	r ee p aa s T
रेप्ले	r ee p l ee
रेफर	r ee ph aa r
रेफूसे	r ee ph UU s ee
रेफ्यूसे	r ee ph y UU s ee
रेमन	r ee m aa n
रेरे	r ee r ee
रेवार्डेड	r ee w AA r D ee D
रेश	r ee sh
रेशॉन	r ee sh OO n
रेष्टुरंट	r ee sh T uu r aa q T
रेस	r ee s
रेसन	r ee s aa n
रेसवौइल	r ee s aa w OO ii l
रेसिपी	r ee s ii p II
रेसीप	r ee s II p
रेसॉन	r ee s OO n
रेस्क्यो	r ee s k y oo
रेस्टॉन्स	r ee s T OO n s
रेस्ट्रौ	r ee s T r OO
रेस्तॉइंज	r ee s t OO ii q j
रेह	r ee hh
रेहता	r ee hh aa t AA
रेहेती	r ee hh ee t II
रैपेलिड	r ee p ee l ii D
रॉकर	r OO k aa r
रो	r oo
रोक	r oo k
रोकता	r oo k aa t AA
रोकने	r oo k aa n ee
रोज	r oo j
रोजय	r oo j aa y
रोज़	r oo j
रोजा	r oo j AA
रोट	r oo T
रोटिस्ट	r oo T ii s T
रोटी	r oo T II
रोटीया	r oo T II y AA
रोडिल	r oo D ii l
रोती	r oo t II
रोन	r oo n
रोने	r oo n ee
रोल	r oo l
रोव्हर	r oo w hh aa r
रोशन	r oo sh aa n
रोशनि	r oo sh aa n ii
रोशनी	r oo sh aa n II
रोस	r oo s
रोज़	r oo z
र्ग	r g
र्याव	r y AA w
ऱ्या	r y AA
ल	l
लंग	l aa q g
लंचिग	l aa q c ii g
लंब	l aa q b
लंबी	l aa q b II
लंश	l aa q sh
लक	l aa k
लकडी	l aa k aa D II
लखती	l aa kh aa t II
लग	l aa g
लगई	l aa g II
लगता	l aa g aa t AA
लगती	l aa g aa t II
लगते	l aa g aa t ee
लगना	l aa g aa n AA
लगने	l aa g aa n ee
लगवाता	l aa g aa w AA t AA
लगवाये	l aa g aa w AA y ee
लगा	l aa g AA
लगाए	l aa g AA ee
लगाएंगे	l aa g AA ee q g ee
लगाकर	l aa g AA k aa r
लगाता	l aa g AA t AA
लगाना	l aa g AA n AA
लगानी	l aa g AA n II
लगाने	l aa g AA n ee
लगाया	l aa g AA y AA
लगाये	l aa g AA y ee
लगी	l aa g II
लगीं	l aa g II q
लगे	l aa g ee
लगेंगे	l aa g ee q g ee
लगेगा	l aa g ee g AA
लगेगी	l aa g ee g II
लघ	l aa gh
लट	l aa T
लटक	l aa T aa k
लटकर	l aa T aa k aa r
लटका	l aa T aa k AA
लटकाकर	l aa T aa k AA k aa r
लटकाया	l aa T aa k AA y AA
लटु	l aa T uu
लडका	l aa D aa k AA
लडकी	l aa D aa k II
लडती	l aa D aa t II
लड़की	l aa D aa k II
लड़ते	l aa D aa t ee
लडू	l aa D UU
लता	l aa t AA
लदी	l aa d II
लन	l aa n
लनलि	l aa n aa l ii
लनिंग	l aa n ii q g
लनेट	l aa n ee T
लफ	l aa ph
लर	l aa r
लरेंट	l aa r ee q T
लर्नएट	l aa r n ee T
लवेड	l aa w ee D
लहती	l aa hh aa t II
लहराया	l aa hh aa r AA y AA
ला	l AA
लाइजेट	l AA ii j ee T
लाइन	l AA ii n
लाइफ	l AA ii ph
लाइब	l AA ii b
लाइस	l AA ii s
लाई	l AA II
लाईंग्स	l AA II q g s
लाउंग	l AA uu q g
लाउज	l AA uu j
लाऊग	l AA UU g
लाऊज्ड	l AA UU j D
लाऊत	l AA UU t
लाए	l AA ee
लाकर	l AA k aa r
लाख	l AA kh
लागली	l AA g aa l II
लाज	l AA j
लाजा	l AA j AA
लात	l AA t
लाती	l AA t II
लाते	l AA t ee
लाफेड	l AA ph ee D
लाफ्टेड	l AA ph T ee D
लाबा	l AA b AA
लायकी	l AA y aa k II
लायकेस	l AA y aa k ee s
लाये	l AA y ee
लायेंगे	l AA y ee q g ee
लाल	l AA l
लाले	l AA l ee
लाल्टी	l AA l T II
लास	l AA s
लास्ट	l AA s T
लि	l ii
लिंग	l ii q g
लिआ	l ii AA
लिआमन	l ii AA m aa n
लिइंग	l ii ii q g
लिईग	l ii II g
लिए	l ii ee
लिक	l ii k
लिकमे	l ii k aa m ee
लिकल	l ii k aa l
लिके	l ii k ee
लिख	l ii kh
लिखणे	l ii kh aa N ee
लिखता	l ii kh aa t AA
लिखती	l ii kh aa t II
लिखा	l ii kh AA
लिखे	l ii kh ee
लिगे	l ii g ee
लिजम	l ii j aa m
लिजार्ड	l ii j AA r D
लिजेनिंग	l ii j ee n ii q g
लिट	l ii T
लिटिंग	l ii T ii q g
लिटिल	l ii T ii l
लिटील	l ii T II l
लिट्ल	l ii T l
लिट्स	l ii T s
लिपरेट	l ii p aa r ee T
लिपलाय्ड	l ii p aa l AA y D
लिफस	l ii ph aa s
लिफ्स	l ii ph s
लिया	l ii y AA
लियिंग	l ii y ii q g
लिये	l ii y ee
लिव	l ii w
लिवकिंग	l ii w aa k ii q g
लिवर्स	l ii w aa r s
लिविड	l ii w ii D
लिवेज	l ii w ee j
लिवेल	l ii w ee l
लिव्हर	l ii w hh aa r
लिस	l ii s
लिसन	l ii s aa n
लिस्ट	l ii s T
लिस्टनिंग	l ii s T aa n ii q g
ली	l II
लीगल	l II g aa l
लीगली	l II g aa l II
लीड	l II D
लीया	l II y AA
लीवीलर	l II w II l aa r
लु	l uu
लुकेड	l uu k ee D
लुगाने	l uu g AA n ee
लुपा	l uu p AA
लू	l UU
लूँगी	l UU q g II
लूकेड	l UU k ee D
लॅ	l ae
लॅक	l ae k
लॅनिंग	l ae n ii q g
लॅपटॉप	l ae p aa T OO p
लॅप्ट	l ae p T
ले	l ee
लेंग	l ee q g
लेंगे	l ee q g ee
लेंड	l ee q D
लेऑफ्ट	l ee OO ph T
लेक	l ee k
लेकर	l ee k aa r
लेकिन	l ee k ii n
लेकीन	l ee k II n
लेके	l ee k ee
लेखने	l ee kh aa n ee
लेगी	l ee g II
लेज	l ee j
लेट	l ee T
लेटन	l ee T aa n
लेटिस	l ee T ii s
लेटीस	l ee T II s
लेटेगी	l ee T ee g II
लेता	l ee t AA
लेतिन	l ee t ii n
लेती	l ee t II
लेते	l ee t ee
लेथर	l ee th aa r
लेद	l ee d
लेन	l ee n
लेवेस	l ee w ee s
लेश्ट	l ee sh T
लेसनेट	l ee s aa n ee T
लेज़ि	l ee z ii
लेज़ी	l ee z II
लैईंग	l ee II q g
लैन	l ee n
लैस	l ee s
लॉ	l OO
लॉकिट	l OO k ii T
लॉच	l OO c
लॉन्चिट	l OO n c ii T
लॉप	l OO p
लॉफ	l OO ph
लॉयंस	l OO y aa q s
लॉयन	l OO y aa n
लॉव्ट	l OO w T
लॉश	l OO sh
लो	l oo
लों	l oo q
लोइन	l oo ii n
लोग	l oo g
लोगो	l oo g oo
लोगों	l oo g oo q
लोज	l oo j
लोट	l oo T
लोटकर	l oo T aa k aa r
लोटी	l oo T II
लोट्स	l oo T s
लोत	l oo t
लोयंस	l oo y aa q s
लोयन	l oo y aa n
लोल	l oo l
लोस्ट	l oo s T
लोहेट	l oo hh ee T
लौ	l OO
लौट	l OO T
लौटकर	l OO T aa k aa r
लौटका	l OO T aa k AA
लौटा	l OO T AA
लौटे	l OO T ee
लौत	l OO t
ल्या	l y AA
ल्यांक	l y AA q k
लड़का	l aa D aa k AA
लड़की	l aa D aa k II
लड़ाई	l aa D AA II
व	w
वंकी	w aa q k II
वंग्स	w aa q g s
वंट	w aa q T
वंड	w aa q D
वंडर	w aa q D aa r
वआज	w AA j
वक	w aa k
वग	w aa g
वगर	w aa g aa r
वज	w aa j
वजह	w aa j aa hh
वजा	w aa j AA
वट	w aa T
वटर	w aa T aa r
वड	w aa D
वडिक्ट	w aa D ii k T
वत	w aa t
वथर	w aa th aa r
वदर	w aa d aa r
वदल	w aa d aa l
वन	w aa n
वन्ट	w aa n T
वन्डर्डेड	w aa n D aa r D ee D
वप	w aa p
वम	w aa m
वय	w aa y
वयरी	w aa y aa r II
वर	w aa r
वरंड	w aa r aa q D
वरिक्ट	w aa r ii k T
वरेन्ट	w aa r ee n T
वर्क	w aa r k
वर्कर	w aa r k aa r
वर्टीश	w aa r T II sh
वर्डिकल	w aa r D ii k aa l
वर्डीकेड	w aa r D II k ee D
वर्डे	w aa r D ee
वर्डेड	w aa r D ee D
वर्ड्ज	w aa r D j
वर्ड्याक	w aa r D y AA k
वर्नेट	w aa r n ee T
वर्मिली	w aa r m ii l II
वर्स	w aa r s
वल	w aa l
वलि	w aa l ii
वल्ड	w aa l D
ववल	w aa w aa l
वस	w aa s
वह	w aa hh
वहमंम	w aa hh aa m aa q m
वहा	w aa hh AA
वहाँ	w aa hh AA q
वहां	w aa hh AA q
वही	w aa hh II
वहीं	w aa hh II q
वहे	w aa hh ee
वा	w AA
वांस	w AA q s
वाआइडर	w AA AA ii D aa r
वाआयेडर	w AA AA y ee D aa r
वाइ	w AA ii
वाइग	w AA ii g
वाइट	w AA ii T
वाइडर	w AA ii D aa r
वाइल	w AA ii l
वाइव	w AA ii w
वाईक	w AA II k
वाईटेड	w AA II T ee D
वाईडे	w AA II D ee
वाईल	w AA II l
वाउल	w AA uu l
वागण्यामुळे	w AA g aa N y AA m uu l ee
